time,temperature_2m,relativehumidity_2m,precipitation,cloudcover,et0_fao_evapotranspiration
2023-09-10T20:00,24.6,93,0.5,64,0.0
2023-09-10T21:00,24.4,94,0.0,39,0.0
2023-09-10T22:00,24.1,93,0.0,33,0.0
2023-09-10T23:00,24.2,93,0.0,38,0.0
2023-09-11T00:00,24.0,92,0.0,26,0.0
2023-09-11T01:00,23.9,90,0.0,4,0.0
2023-09-11T02:00,23.8,88,0.0,26,0.0
2023-09-11T03:00,23.4,89,0.0,11,0.0
2023-09-11T04:00,23.0,89,0.0,0,0.0
2023-09-11T05:00,23.1,87,0.0,0,0.0
2023-09-11T06:00,23.0,86,0.0,0,0.02
2023-09-11T07:00,24.3,85,0.0,0,0.08
2023-09-11T08:00,26.8,76,0.0,0,0.23
2023-09-11T09:00,27.4,78,0.0,3,0.37
2023-09-11T10:00,28.4,75,0.0,43,0.47
2023-09-11T11:00,29.0,71,0.0,76,0.5
2023-09-11T12:00,29.7,67,0.0,40,0.47
2023-09-11T13:00,30.1,64,0.0,65,0.46
2023-09-11T14:00,30.0,62,0.0,83,0.39
2023-09-11T15:00,29.9,62,0.0,69,0.33
2023-09-11T16:00,28.9,68,0.1,83,0.25
2023-09-11T17:00,28.5,71,0.0,78,0.13
2023-09-11T18:00,27.5,78,0.1,63,0.03
2023-09-11T19:00,27.0,80,0.0,57,0.0
2023-09-11T20:00,26.3,84,0.0,50,0.0
2023-09-11T21:00,25.5,88,0.0,69,0.0
2023-09-11T22:00,25.1,90,0.0,57,0.0
2023-09-11T23:00,25.5,88,0.0,49,0.0
